Place,VP total,Thinking time,VP from Military Conflicts (Victory),VP from Military Conflicts (Defeat),VP from Treasury Contents,VP from Wonder, VP from Civilian Structures,VP from Scientific Structures,VP from Commercial Structures,VP from Guilds,Constructed stages of the Wonder,Cards discarded,Chained constructions,Coins spent on commerce,Coins gained through commerce,Shields,Wonder side A,Wonder ID,Civilian Structures,Scientific Structures,Guilds,Military Structures,Commercial Structures,Raw Materials,Manufactured Goods
,,,,,,,,,,,,,,,,,,,,,,,,,
1,68,4:47,8,-4,0,3,13,48,0,0,3,2,7,12,4,5,no,14,3,9,0,2,0,2,0
2,60,3:29,11,-2,7,7,22,0,0,15,3,1,0,8,21,8,no,13,4,0,2,4,1,3,0
3,60,4:35,14,-1,5,3,11,10,9,9,3,0,2,11,8,9,no,9,2,2,1,4,4,1,3
4,55,2:57,10,-2,11,7,11,0,11,7,2,1,1,16,11,3,no,11,2,0,1,1,6,3,2
5,43,3:22,1,-5,4,5,14,10,4,10,2,0,2,9,12,1,no,12,3,2,3,1,3,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,
1,67,5:45,0,-5,5,3,0,64,0,0,2,3,6,6,10,0,no,14,0,10,1,0,0,2,2
2,62,3:48,15,-1,10,3,0,26,9,0,3,2,4,16,12,7,no,9,0,5,0,3,6,2,0
3,53,2:27,18,0,4,7,14,0,0,10,3,2,1,10,6,9,no,13,2,0,2,5,3,1,0
4,52,5:36,3,-5,5,10,30,0,0,9,3,0,2,14,16,4,no,12,7,0,1,2,1,3,1
5,51,5:04,8,-3,7,7,20,0,8,4,2,0,2,6,8,4,no,11,5,0,1,1,4,4,1
,,,,,,,,,,,,,,,,,,,,,,,,,
1,54,2:45,15,0,4,5,17,1,3,9,3,0,1,5,10,7,no,10,4,1,0,4,3,2,1
2,52,4:23,12,-1,8,7,8,0,9,9,2,1,2,2,8,7,no,11,1,0,1,2,5,4,2
3,51,3:43,0,-5,1,3,9,25,4,14,3,0,3,14,6,1,no,9,2,4,2,1,2,3,2
4,48,4:04,4,-3,2,3,13,16,4,9,3,1,3,8,7,4,no,14,3,3,2,3,1,4,1
5,46,3:32,10,-4,5,7,12,0,3,13,3,0,1,6,4,11,no,13,3,0,2,4,3,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,
1,64,2:46,16,0,6,7,25,0,0,10,3,0,1,2,16,7,no,13,5,0,1,3,1,4,1
2,59,4:03,13,-1,3,3,6,0,6,29,3,0,0,8,11,5,no,14,2,0,4,4,1,6,1
3,56,4:02,0,-5,5,10,3,26,0,17,3,1,1,20,4,0,no,12,1,6,2,0,4,0,1
4,52,3:29,14,-2,3,7,26,0,4,0,2,0,2,9,6,9,no,11,5,0,0,3,4,3,1
5,51,5:01,0,-5,4,20,15,13,4,0,4,0,1,8,10,2,no,8,3,4,0,1,2,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,
1,70,3:32,17,0,5,0,0,38,0,10,1,1,5,12,14,6,no,13,0,7,2,3,1,2,1
2,57,3:30,13,-1,10,7,5,0,13,10,2,0,1,9,14,5,no,11,1,0,2,2,6,3,2
3,51,3:27,13,-2,5,10,25,0,0,0,3,0,3,7,9,9,no,12,5,0,0,4,3,2,1
4,48,6:01,0,-6,0,20,24,0,4,6,4,2,1,18,8,0,no,8,5,0,1,0,1,4,1
5,40,2:45,0,-4,2,3,4,25,3,7,3,1,2,8,9,4,no,9,1,5,1,2,2,3,2
,,,,,,,,,,,,,,,,,,,,,,,,,
1,56,3:09,5,-1,6,7,15,0,9,15,2,0,3,8,10,5,no,11,3,0,2,2,5,2,2
2,54,3:33,8,-3,5,20,11,0,7,6,4,0,0,13,10,5,no,8,2,0,1,2,5,3,1
