Game result,Thinking time,VP from Military Conflicts (Victory),VP from Military Conflicts (Defeat),VP from Treasury Contents,VP from Wonder, VP from Civilian Structures,VP from Scientific Structures,VP from Commercial Structures,VP from Guilds,Constructed stages of the Wonder,Cards discarded,Chained constructions,Coins spent on commerce,Coins gained through commerce,Shields,Wonder side A,Wonder ID,Civilian Structures,Scientific Structures,Guilds,Military Structures,Commercial Structures,Raw Materials,Manufactured Goods
,,,,,,,,,,,,,,,,,,,,,,,,
1st (74),4:29,17,0,7,20,13,0,7,10,4,0,0,12,20,5,no,8,3,0,1,3,4,3,0
2nd (62),2:46,18,0,9,7,18,0,10,0,2,0,5,3,10,7,no,11,5,0,0,3,5,3,0
3rd (56),4:50,0,-5,4,10,0,38,0,9,3,1,3,10,8,1,no,12,0,8,1,1,0,2,2
4th (55),4:01,0,-5,6,3,11,31,9,0,3,0,2,14,12,0,no,9,2,6,0,0,5,1,3
5th (55),4:09,17,0,3,5,14,0,0,16,3,0,1,12,8,11,no,10,2,0,1,5,4,3,0
6th (53),6:11,8,-3,1,3,27,0,3,14,3,0,4,10,8,7,no,14,7,0,2,3,3,3,0
7th (44),4:20,0,-5,1,10,19,13,0,6,3,0,2,12,7,1,yes,6,4,4,1,1,2,2,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (64),4:09,16,0,7,3,15,0,5,18,3,0,0,8,21,8,no,14,2,0,2,4,3,5,2
2nd (54),5:30,9,-2,1,5,18,0,4,19,2,1,2,15,3,3,no,10,4,0,3,2,4,1,1
3rd (53),5:10,8,-3,7,10,4,13,8,6,3,0,4,9,6,5,no,12,1,4,1,2,5,1,1
4th (51),3:03,0,-4,0,3,10,36,0,6,2,2,5,16,4,1,no,9,2,8,1,1,2,2,0
5th (49),2:58,8,-2,9,20,10,0,4,0,4,2,0,10,9,6,no,8,2,0,0,3,3,4,0
6th (46),2:36,16,-1,10,7,9,0,0,5,2,1,1,2,18,13,no,11,2,0,1,4,3,4,1
7th (43),3:00,1,-4,3,7,15,18,3,0,3,0,1,7,6,1,no,13,3,5,0,1,3,3,0
,,,,,,,,,,,,,,,,,,,,,,,,
1st (57),3:07,13,-1,6,10,9,0,3,17,3,1,1,12,8,8,no,12,2,0,2,4,1,4,1
2nd (53),5:19,15,0,5,7,25,0,1,0,3,0,0,2,17,10,no,13,5,0,0,5,1,3,1
3rd (50),4:03,6,-2,6,7,18,10,5,0,2,0,5,9,5,8,no,11,4,3,0,3,5,1,0
4th (49),5:06,1,-5,5,20,22,0,6,0,4,2,3,18,9,1,no,8,5,0,0,1,4,2,0
5th (49),5:00,8,-2,2,3,5,25,0,8,2,0,4,17,9,5,yes,3,1,7,1,2,3,1,1
6th (45),6:04,10,-2,9,3,11,0,7,7,3,0,0,5,18,11,no,14,3,0,1,4,4,4,2
7th (23),7:00,0,-5,1,3,13,4,0,7,2,2,2,11,8,7,no,9,2,2,1,3,2,3,3
,,,,,,,,,,,,,,,,,,,,,,,,
1st (70),3:22,18,0,8,5,17,0,3,19,3,1,1,6,7,5,no,10,3,0,2,3,4,2,0
2nd (56),2:10,13,0,8,3,29,0,3,0,1,1,1,5,9,6,no,11,5,0,0,3,5,3,0
3rd (56),3:05,0,-6,7,3,14,13,9,16,3,2,3,2,7,0,no,9,3,3,2,0,3,2,3
4th (52),3:25,13,0,3,15,3,0,3,15,3,1,0,12,7,6,yes,1,1,0,2,3,3,5,0
5th (50),3:21,8,-3,8,7,15,0,6,9,3,1,1,7,10,5,no,13,3,0,1,2,4,3,1
6th (48),3:07,0,-5,0,2,8,43,0,0,1,2,5,7,1,3,no,14,2,9,0,1,1,1,2
7th (42),3:10,0,-4,3,5,14,16,0,8,2,0,1,9,7,6,no,12,3,3,2,2,2,3,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (64),3:07,17,0,10,10,13,0,3,11,3,1,0,12,18,5,no,12,2,0,2,3,1,6,0
2nd (58),3:42,0,-5,8,8,0,36,2,9,2,1,5,18,16,0,no,8,0,8,1,0,5,0,1
3rd (55),4:22,0,-3,4,3,14,31,6,0,2,0,6,9,8,1,no,9,3,6,1,1,6,0,1
4th (52),4:08,11,-2,5,10,8,10,3,7,3,0,2,24,19,9,yes,7,1,3,1,4,4,3,0
5th (50),3:18,14,-2,7,7,7,0,9,8,2,0,1,14,20,11,no,11,2,0,1,4,2,5,2
6th (49),4:07,10,-2,3,0,34,0,4,0,1,1,2,2,6,7,no,13,7,0,0,3,1,3,2
7th (47),3:38,5,-3,3,5,17,0,4,16,3,1,1,12,4,4,no,10,3,0,2,3,4,1,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (63),2:53,12,-1,2,3,9,34,4,0,1,0,8,10,4,7,no,11,2,6,1,3,4,1,0
2nd (54),2:31,5,-3,6,20,15,0,4,7,4,0,0,12,13,3,no,8,3,0,1,2,4,4,0
3rd (52),3:04,0,-6,6,3,29,1,6,13,2,0,3,10,16,0,no,9,6,1,2,0,5,4,0
4th (52),3:28,10,-2,5,3,15,0,6,15,3,2,1,12,14,6,no,14,3,0,2,3,3,3,2
5th (50),2:35,10,-4,9,10,11,10,4,0,3,1,3,11,13,8,no,12,2,3,0,3,3,1,2
6th (49),2:12,16,-2,4,5,21,0,0,5,3,1,0,6,10,10,no,10,4,0,0,4,1,4,1
7th (47),2:49,9,-2,4,7,15,0,3,11,3,2,1,14,5,6,no,13,4,0,2,3,3,1,0
,,,,,,,,,,,,,,,,,,,,,,,,
1st (60),5:03,8,-2,0,3,29,0,0,22,3,0,2,11,12,4,no,14,7,0,3,2,3,3,0
2nd (59),4:31,0,-5,6,3,18,31,0,6,3,1,3,6,21,0,no,9,3,6,1,0,1,4,2
3rd (58),2:45,18,0,3,10,10,0,6,11,3,1,0,16,4,7,yes,3,2,0,1,4,3,3,1
4th (54),3:24,0,-6,3,20,29,0,0,8,4,0,3,8,12,0,no,8,7,0,1,0,2,4,0
5th (51),2:45,16,-1,6,7,18,0,5,0,3,0,0,6,8,9,no,13,3,0,0,4,4,3,1
6th (51),5:11,18,0,3,10,0,1,6,13,3,1,0,14,8,6,yes,4,0,1,2,3,3,2,3
7th (47),3:47,1,-5,5,10,10,26,0,0,3,0,6,10,6,1,no,12,2,7,0,1,2,2,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (66),2:29,16,0,5,5,20,0,3,17,3,1,1,10,6,6,no,10,4,0,1,3,3,1,2
2nd (56),3:13,9,-2,7,10,11,13,0,8,3,0,1,10,10,1,no,12,2,4,1,1,3,4,0
3rd (56),3:08,12,-1,1,7,27,1,2,7,3,1,2,6,4,5,no,13,5,1,1,3,2,2,0
4th (54),3:44,0,-5,5,3,13,38,0,0,2,0,4,7,14,0,no,14,4,7,1,0,2,2,2
5th (53),3:04,11,-1,7,7,3,0,10,16,2,1,3,14,10,7,no,11,1,0,2,2,6,4,0
6th (53),3:23,10,-3,3,3,19,13,0,8,3,0,2,8,12,8,no,9,4,3,1,3,2,2,2
7th (51),3:48,0,-4,0,20,19,0,0,16,4,1,1,6,5,1,no,8,4,0,2,1,2,3,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (58),3:31,8,-3,6,3,8,18,9,9,3,0,3,15,12,5,no,9,2,4,1,2,6,2,0
2nd (56),3:42,18,0,2,10,25,1,0,0,3,0,1,16,4,9,no,12,4,1,0,5,2,2,1
3rd (56),3:51,0,-5,0,3,20,38,0,0,3,1,4,10,7,0,no,14,5,7,1,0,1,2,1
4th (53),2:28,11,-1,3,8,9,0,6,17,2,0,0,12,8,8,yes,1,2,0,2,4,2,3,3
5th (48),3:03,9,-3,8,5,18,0,5,6,3,0,4,5,12,8,no,10,4,0,0,4,5,2,0
6th (48),2:28,14,-1,6,7,11,1,3,7,3,1,0,2,8,9,no,13,2,1,1,4,3,3,0
7th (37),3:27,0,-5,10,0,6,18,8,0,0,0,3,9,18,4,no,11,1,5,0,2,6,2,2
,,,,,,,,,,,,,,,,,,,,,,,,
1st (59),4:36,0,-4,3,3,0,43,5,9,3,0,4,5,4,2,no,14,0,9,1,1,5,1,1
2nd (59),2:48,10,-1,2,7,31,0,2,8,3,0,0,0,5,4,no,13,6,0,1,3,1,3,1
3rd (54),2:49,17,0,6,10,7,0,5,9,3,1,3,7,1,6,yes,5,2,0,1,3,6,2,0
4th (52),4:06,18,0,5,10,16,0,3,0,3,0,0,6,15,11,yes,3,3,0,0,5,1,4,2
5th (49),3:43,0,-5,1,3,19,31,0,0,2,0,4,4,5,1,yes,2,4,6,0,1,3,1,1
6th (47),4:03,5,-3,3,3,15,0,9,15,1,0,1,12,9,5,yes,1,3,0,2,2,3,5,2
7th (45),5:02,5,-4,4,10,9,0,5,16,3,0,2,7,2,7,yes,4,2,0,2,2,5,3,1
,,,,,,,,,,,,,,,,,,,,,,,,
1st (60),4:32,18,0,8,3,12,0,7,12,3,0,0,8,7,7,no,14,2,0,2,4,6,2,2
2nd (54),3:21,13,-3,2,5,2,31,4,0,2,0,5,14,8,8,no,10,1,6,1,3,4,0,1
