Place,VP total,Thinking time,VP from Military Conflicts (Victory),VP from Military Conflicts (Defeat),VP from Treasury Contents,VP from Wonder, VP from Civilian Structures,VP from Scientific Structures,VP from Commercial Structures,VP from Guilds,Constructed stages of the Wonder,Cards discarded,Chained constructions,Coins spent on commerce,Coins gained through commerce,Shields,Wonder side A,Wonder ID,Civilian Structures,Scientific Structures,Guilds,Military Structures,Commercial Structures,Raw Materials,Manufactured Goods,Match ID/Avg lvl
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,51,4:03,10,-4,4,7,16,18,0,0,2,0,4,11,14,8,no,11,4,5,0,2,2,2,1,#62664297
2,45,5:33,13,-1,5,7,12,0,4,5,3,2,0,12,11,4,no,13,2,0,1,3,4,2,1,512
3,45,5:24,4,-4,2,5,20,0,3,15,3,1,0,13,11,3,no,10,4,0,2,2,2,3,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,48,4:08,7,-1,8,7,10,4,0,13,2,1,1,9,16,5,no,11,2,2,2,2,3,1,3,#58630318
2,48,2:44,14,-1,1,10,12,0,0,12,3,1,1,15,2,9,no,12,2,0,2,4,2,4,0,493
3,47,3:32,0,-5,7,10,29,0,6,0,3,1,3,10,16,5,yes,3,6,0,0,2,3,3,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,56,2:35,0,-6,6,20,15,0,8,13,4,1,4,12,13,2,no,8,4,0,2,1,4,2,0,#58630038
2,56,5:05,13,-1,4,3,12,10,0,15,2,1,0,9,14,7,no,14,2,2,3,4,2,3,1,493
3,53,3:29,14,-2,2,10,28,1,0,0,3,0,3,16,10,9,no,12,6,1,0,4,1,2,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,61,5:20,10,-2,4,3,8,31,0,7,2,0,5,4,11,4,no,14,2,7,1,3,1,3,1,#58629737
2,50,3:35,17,-1,3,10,13,0,0,8,3,4,2,8,2,8,yes,3,2,0,1,4,2,2,0,493
3,48,2:38,0,-6,6,7,28,4,9,0,3,1,3,8,7,0,no,13,6,2,0,0,4,2,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,54,3:37,18,0,4,7,16,0,3,6,2,0,3,7,8,9,no,11,3,0,1,4,4,3,1,#58629427
2,50,4:02,0,-6,3,5,34,0,2,12,2,0,2,8,12,0,no,10,7,0,2,0,1,3,3,493
3,49,3:44,9,-3,0,0,3,38,2,0,2,1,5,9,4,6,no,13,1,8,0,3,2,1,0,
