Place,VP total,Thinking time,VP from Military Conflicts (Victory),VP from Military Conflicts (Defeat),VP from Treasury Contents,VP from Wonder, VP from Civilian Structures,VP from Scientific Structures,VP from Commercial Structures,VP from Guilds,Constructed stages of the Wonder,Cards discarded,Chained constructions,Coins spent on commerce,Coins gained through commerce,Shields,Wonder side A,Wonder ID,Civilian Structures,Scientific Structures,Guilds,Military Structures,Commercial Structures,Raw Materials,Manufactured Goods
,,,,,,,,,,,,,,,,,,,,,,,,,
1,79,2:41,17,0,4,3,32,0,0,23,1,0,1,7,16,6,no,11,6,0,2,3,3,3,0
2,64,3:32,0,-6,2,3,0,55,4,6,3,2,5,14,3,0,no,14,0,10,1,0,2,1,2
3,57,4:07,9,-1,10,5,21,0,8,5,3,0,1,5,16,6,no,10,4,0,0,3,5,3,0
4,54,3:09,10,0,4,20,3,0,4,13,4,1,1,14,12,9,no,8,1,0,2,4,3,2,1
5,49,4:20,8,-1,4,7,10,13,0,8,3,1,3,12,8,6,no,13,2,4,1,3,2,1,1
6,47,3:36,0,-4,1,3,21,16,3,7,3,1,2,12,9,1,no,9,4,3,1,1,1,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,
1,69,3:12,18,0,7,5,24,0,6,9,3,0,0,14,27,8,no,10,4,0,1,4,1,2,3
2,66,3:14,9,-2,3,20,19,0,8,9,4,0,2,12,2,1,no,8,4,0,1,1,4,4,0
3,62,3:12,17,0,7,7,4,0,4,23,2,1,1,6,13,8,no,11,1,0,3,3,3,4,1
4,51,5:52,8,-3,5,2,3,36,0,0,1,3,5,16,7,5,no,14,1,8,0,2,2,1,1
5,51,3:10,0,-5,3,3,9,38,3,0,3,2,6,4,4,0,no,9,3,7,0,0,3,1,1
6,42,2:58,0,-6,4,10,26,0,0,8,3,0,0,16,15,5,no,12,5,0,1,2,3,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,
1,69,2:09,5,-3,13,20,11,0,14,9,4,0,2,9,18,3,no,8,2,0,1,1,6,4,0
2,68,2:54,0,-4,0,3,3,55,6,5,3,0,4,20,4,0,no,9,1,9,1,0,2,1,3
3,56,2:54,15,-1,4,10,5,16,0,7,3,0,3,14,10,7,no,12,1,4,1,4,1,3,1
4,56,3:17,9,0,1,3,18,0,3,22,3,1,0,18,5,6,no,14,5,0,3,3,3,2,1
5,53,3:25,12,-2,10,3,13,0,9,8,1,0,2,4,18,6,no,11,2,0,1,3,5,4,2
6,41,2:38,0,-3,4,7,28,0,0,5,3,1,2,6,16,6,no,13,6,0,1,3,2,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,
1,66,3:10,0,-5,3,7,6,55,0,0,3,0,6,6,9,0,no,13,1,10,0,0,1,3,0
2,58,4:20,18,0,2,13,11,0,3,11,3,3,0,15,4,6,no,8,2,0,1,3,2,2,2
3,56,4:49,8,-2,10,3,12,0,9,16,3,1,3,8,18,7,no,14,3,0,2,3,5,4,0
4,51,5:17,15,0,1,5,13,0,2,15,2,0,0,22,11,10,no,12,3,0,2,5,3,2,1
5,49,4:26,9,-3,5,5,25,0,0,8,3,0,2,3,19,9,no,10,6,0,0,4,2,2,1
6,32,3:16,0,-6,1,10,5,16,0,6,3,2,2,13,6,2,yes,2,2,2,2,1,3,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,
1,71,5:31,18,0,4,7,18,10,3,11,3,0,1,10,11,7,no,13,3,3,1,4,2,2,0
2,56,3:11,17,0,7,7,6,0,4,15,2,1,2,8,5,9,no,11,1,0,2,3,4,4,1
3,52,6:00,8,-4,3,3,24,10,0,8,3,0,2,13,14,7,no,14,5,3,1,3,2,2,2
4,51,4:32,9,-2,1,5,23,0,2,13,3,0,0,10,6,5,no,10,5,0,1,3,3,2,1
5,45,2:28,1,-5,9,3,5,26,6,0,3,1,3,10,15,4,no,9,1,4,1,2,3,2,3
6,43,4:13,0,-6,8,10,3,26,2,0,3,1,3,13,13,0,no,12,1,7,0,0,3,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,
1,58,2:38,16,0,6,3,31,0,2,0,1,1,2,10,14,7,no,11,6,0,0,3,5,2,0
2,55,3:34,14,0,4,5,19,0,0,13,3,0,3,11,8,9,no,10,5,0,1,4,3,2,0
3,53,3:15,5,-5,8,3,0,26,9,7,3,2,3,8,16,5,no,9,0,5,1,2,2,3,3
4,49,4:02,0,-3,5,10,18,0,3,16,3,1,1,20,11,3,no,12,4,0,2,2,3,2,1
5,46,2:37,4,-3,3,0,9,33,0,0,2,2,6,8,9,3,no,13,2,8,0,2,0,1,1
6,43,2:36,5,-1,1,20,18,0,0,0,4,0,1,10,9,6,no,8,4,0,0,3,2,4,1
,,,,,,,,,,,,,,,,,,,,,,,,,
1,61,4:25,13,0,5,3,13,1,0,26,3,0,1,6,15,8,no,14,2,1,3,4,3,3,2
2,55,3:09,3,-2,7,7,25,0,8,7,2,1,2,12,4,5,no,11,4,0,1,2,6,2,0
3,53,2:18,9,0,6,7,9,0,12,10,3,0,0,16,9,6,no,13,3,0,1,3,5,2,1
