column,min,max,mean,pstdev,pvariance,1 quartile,median,3 quartile
Place,1,3,1.9983,0.8166,0.6669,1,2,3
VP total,26,90,53.8291,7.3555,54.1043,49,54,59
Thinking time,98,983,253.0320,75.1181,5642.7338,200,241,291
VP from Military Conflicts Victory,0,18,8.1363,6.2468,39.0230,1,9,13
VP from Military Conflicts Defeat,-6,0,-2.5609,1.9966,3.9868,-4,-2,-1
VP from Treasury Contents,0,15,3.6010,2.4756,6.1287,2,3,5
VP from Wonder,0,20,6.9031,4.8900,23.9126,3,7,10
VP from Civilian Structures,0,48,15.6349,8.5644,73.3491,9,15,22
VP from Scientific Structures,0,85,11.8683,16.5346,273.3961,0,1,21
VP from Commercial Structures,0,15,2.5666,2.8029,7.8562,0,3,4
VP from Guilds,0,35,7.6796,6.6811,44.6383,0,7,12
Constructed stages of the Wonder,0,4,2.5700,0.8526,0.7270,2,3,3
Cards discarded,0,8,0.7138,0.8773,0.7696,0,0,1
Chained constructions,0,10,2.6859,1.8920,3.5800,1,2,4
Coins spent on commerce,0,36,9.8735,4.6123,21.2741,6,10,13
Coins gained through commerce,0,34,9.8735,5.2609,27.6772,6,9,13
Shields,0,12,4.6614,2.8041,7.8635,3,5,7
Wonder side A,0,1,0.1169,0.3213,0.1032,0,0,0
Wonder ID,1,14,10.2014,3.2470,10.5434,9,11,13
Civilian Structures,0,10,3.2027,1.7752,3.1515,2,3,4
Scientific Structures,0,12,2.5809,3.1433,9.8809,0,1,5
Guilds,0,5,1.1595,0.9061,0.8211,0,1,2
Military Structures,0,6,2.3399,1.3103,1.7171,1,3,3
Commercial Structures,0,8,2.4381,1.4897,2.2192,1,2,3
Raw Materials,0,8,2.5751,1.1419,1.3039,2,3,3
Manufactured Goods,0,3,0.9665,0.9156,0.8384,0,1,2
