Wonder ID,Uses,Wins,Win rate,Place,VP total,Thinking time,VP from Military Conflicts (Victory),VP from Military Conflicts (Defeat),VP from Treasury Contents,VP from Wonder, VP from Civilian Structures,VP from Scientific Structures,VP from Commercial Structures,VP from Guilds,Constructed stages of the Wonder,Cards discarded,Chained constructions,Coins spent on commerce,Coins gained through commerce,Shields,Civilian Structures,Scientific Structures,Guilds,Military Structures,Commercial Structures,Raw Materials,Manufactured Goods
1,373,96,25.74,2.14,51.90,259.93,7.59,-2.66,3.17,12.30,17.07,3.91,3.13,7.36,2.56,0.60,2.38,9.17,10.19,4.68,3.60,1.00,1.10,2.39,2.93,2.91,0.85
2,210,53,25.24,2.13,51.53,283.40,6.18,-3.09,2.71,5.86,11.80,21.49,1.44,5.11,2.12,0.54,3.25,8.12,10.26,3.66,2.41,3.96,0.88,1.97,2.06,2.69,1.34
3,543,208,38.31,1.88,53.61,252.33,9.55,-1.93,3.73,9.44,16.98,4.44,3.26,8.12,2.87,0.61,1.94,8.48,9.43,5.07,3.33,1.15,1.25,2.76,2.71,2.47,0.79
4,185,45,24.32,2.16,51.70,265.29,11.80,-1.43,3.29,7.58,16.72,2.34,3.14,8.24,2.49,0.71,1.89,9.53,10.91,6.45,3.4,0.62,1.25,2.57,2.98,3.19,0.75
5,41,9,21.95,2.24,49.97,257.48,5.24,-3.43,5.12,8.14,17.60,8.39,2.53,6.36,2.53,0.51,2.78,10.82,10.65,3.65,3.60,2.07,1.17,1.87,2.31,2.85,1.04
6,64,6,9.38,2.48,48.17,260.71,4.54,-3.78,2.68,7.90,15.67,13.35,1.90,5.87,2.5,0.57,3.54,8.65,8.60,3.39,3.32,3.40,1.03,1.62,2.40,2.28,0.84
7,164,19,11.59,2.43,49.18,277.46,5.66,-3.34,2.77,6.39,12.12,18.18,1.90,5.48,2.18,0.60,3.58,8.08,9.97,3.71,2.60,4.25,0.95,1.90,2.26,2.80,1.17
8,1488,448,30.11,2.08,53.36,244.75,7.80,-2.67,3.56,16.41,15.22,2.47,4.01,6.54,3.40,0.61,1.98,9.86,10.74,4.34,3.24,0.65,0.93,2.31,3.09,3.03,0.68
9,1731,478,27.61,2.13,53.49,261.14,5.73,-3.31,2.88,2.97,12.13,23.90,2.62,6.53,2.72,1.02,3.47,11.23,9.98,3.62,2.40,4.42,1.15,1.89,2.53,2.10,1.73
10,1401,393,28.05,2.07,53.20,252.70,9.15,-2.13,3.31,4.86,17.39,4.79,2.56,13.25,2.78,0.77,1.99,9.75,9.81,5.14,3.57,1.18,1.23,2.75,2.35,2.21,1.11
11,1749,718,41.05,1.88,53.93,247.77,11.97,-1.40,4.55,5.70,18.10,3.19,3.22,8.57,1.66,0.74,2.09,9.96,9.94,6.64,3.69,0.86,1.34,2.69,3.00,3.12,0.86
12,1912,656,34.31,1.94,55.00,248.51,7.02,-2.97,4.88,8.61,14.94,14.18,2.00,6.32,2.67,0.40,3.05,12.33,9.62,4.12,3.04,3.21,1.05,2.12,2.16,2.41,0.91
13,1847,677,36.65,1.92,53.52,242.57,8.80,-2.27,3.39,6.08,17.80,9.42,2.17,8.09,2.78,0.64,2.29,7.80,9.14,4.86,3.58,2.30,1.32,2.59,1.96,2.38,0.42
14,1804,711,39.41,1.88,55.64,264.31,6.65,-3.13,2.71,2.73,13.97,25.19,1.51,5.99,2.12,0.91,3.80,9.06,9.97,3.92,2.93,5.38,1.07,2.04,1.91,2.62,1.09
